Rain_Max_2024_mm,Rain_Mean_2024_mm,Rain_Median_2024_mm,LST_Max_2024_C,LST_Mean_2024_C,LST_Median_2024_C,NDVI_Max_2024,NDVI_Mean_2024,NDVI_Median_2024,TARGET
4100145576422230.0,6722671192662530.0,4526025018374330.0,32.33330501607553,28.172952996235967,28.21581540633093,0.8802523917461311,0.6680239791410376,0.7505948087645251,0
4.27391054842484e+16,6596936710793980.0,4420033893516070.0,34.88126047441025,30.050272458123107,29.85128400154701,0.8311173907438445,0.6351362214213251,0.6855177372051051,0
4945943387349440.0,7917955521024020.0,5428196907043450.0,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642,0
3983697402471550.0,6691831797575570.0,4976446889037420.0,33.87341955197447,28.805134433229647,28.925444619606505,0.874293612946471,0.67567029643814,0.734256294168343,0
4945943387349440.0,7917955521024020.0,5428196907043450.0,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642,0
4009694915888790.0,677287126176636.0,4.55661863262086e+16,31.609819186338548,27.632331662849865,27.64870678924728,0.8932940318389277,0.6587405376177673,0.7578928526193965,0
4199780813106990.0,6685882197820750.0,4638675542084310.0,33.82615248674581,29.258270163326667,29.120335052475948,0.8782961303462327,0.6540849059915725,0.7204876881206852,0
3941491175245960.0,6633245838099510.0,4848713159561150.0,32.30764003673099,28.528886534343023,28.83644857667588,0.8452001606978881,0.7261818431349064,0.7755862947658403,0
3783467483520500.0,6632088661193840.0,4.8470025062561e+16,32.39582187295353,28.75362024252596,28.859459724950906,0.8761611001964636,0.7486120284160475,0.7838022593320237,0
4382378717922270.0,6636474372231380.0,4853485897900580.0,31.51941001064965,28.63744881147237,28.76912673056446,0.8529992971246009,0.7538463360651944,0.7960200000000001,0
451041913851343.0,6.58587180966078e+16,4754552805062490.0,32.42417005695691,28.81899047022792,28.806592758340145,0.8594616913404991,0.7387409432781078,0.782801865747313,0
5230763216986170.0,689899340228758.0,4.94430129424385e+16,33.47820533227221,29.12300246942368,29.256736967767623,0.8690568842021489,0.7489133817194068,0.8035568842021487,0
4.31981918399343e+16,6631853391349560.0,4788282486959850.0,31.383414304993284,28.77280343610652,28.85423245614039,0.8547122807017546,0.7308529696943028,0.7907972672064778,0
3.87561427284689e+16,655721451254452.0,4446133816943440.0,33.976648841354745,28.06383472206508,28.136452762923373,0.7586846285714285,0.5084828158860065,0.5395886857142856,0
4.75599600139417e+16,6788638434912020.0,4.78474006527348e+16,34.50696555650443,28.43244221777132,28.54323085681756,0.8582184435797664,0.7214350240471761,0.7540666926070039,0
3.78763615792257e+16,6.5124180557435e+16,4751707845612570.0,33.975515188654505,28.88191605263404,28.837320318655383,0.8637604744813097,0.7376676434653195,0.7880938720126064,0
3654703934907310.0,6573437309985790.0,486479931334104.0,34.925344522047354,28.221189292621915,28.449246325445657,0.8792686932215231,0.723890761488382,0.7757918039333132,0
4.45410461425781e+16,6636999607086180.0,4854262351989740.0,31.712038314176272,29.006177980932087,29.25523371647512,0.8083156700288187,0.675423074754465,0.7107680475504322,0
4.70588909646739e+16,6458441651385760.0,4.85110025129456e+16,37.66764705882356,28.892021099353425,28.919044117647086,0.8607549219687876,0.6859294952763713,0.730453661464586,0
5311098710880720.0,6.54797059436177e+16,4.72275149545004e+16,35.829642447857026,28.83567092442121,28.824331881732785,0.8222273308957954,0.6937904876400924,0.7515950868372944,0
